Date/Time,Nits
Tue Dec 15 11:15:19 2020, 155.00
Tue Dec 15 11:15:20 2020, 155.00
Tue Dec 15 11:15:21 2020, 155.00
Tue Dec 15 11:15:22 2020, 155.00
Tue Dec 15 11:15:23 2020, 155.00
Tue Dec 15 11:15:24 2020, 155.00
Tue Dec 15 11:15:25 2020, 155.00
Tue Dec 15 11:15:26 2020, 155.00
Tue Dec 15 11:15:27 2020, 155.00
Tue Dec 15 11:15:28 2020, 155.00
Tue Dec 15 11:15:29 2020, 155.00
Tue Dec 15 11:15:30 2020, 155.00
Tue Dec 15 11:15:31 2020, 155.00
Tue Dec 15 11:15:32 2020, 155.00
Tue Dec 15 11:15:33 2020, 155.00
Tue Dec 15 11:15:34 2020, 155.00
Tue Dec 15 11:15:35 2020, 155.00
Tue Dec 15 11:15:36 2020, 155.00
Tue Dec 15 11:15:37 2020, 155.00
Tue Dec 15 11:15:38 2020, 155.00
Tue Dec 15 11:15:39 2020, 155.00
Tue Dec 15 11:15:40 2020, 155.00
Tue Dec 15 11:15:41 2020, 155.00
Tue Dec 15 11:15:42 2020, 155.00
Tue Dec 15 11:15:43 2020, 155.00
Tue Dec 15 11:15:44 2020, 155.00
Tue Dec 15 11:15:45 2020, 155.00
Tue Dec 15 11:15:46 2020, 155.00
Tue Dec 15 11:15:47 2020, 155.00
Tue Dec 15 11:15:48 2020, 155.00
Tue Dec 15 11:15:49 2020, 155.00
Tue Dec 15 11:15:50 2020, 155.00
Tue Dec 15 11:15:51 2020, 155.00
Tue Dec 15 11:15:52 2020, 155.00
Tue Dec 15 11:15:53 2020, 155.00
Tue Dec 15 11:15:54 2020, 155.00
Tue Dec 15 11:15:55 2020, 155.00
Tue Dec 15 11:15:56 2020, 155.00
Tue Dec 15 11:15:57 2020, 155.00
Tue Dec 15 11:15:58 2020, 155.00
Tue Dec 15 11:15:59 2020, 155.00
Tue Dec 15 11:16:00 2020, 155.00
Tue Dec 15 11:16:01 2020, 155.00
Tue Dec 15 11:16:02 2020, 155.00
Tue Dec 15 11:16:03 2020, 155.00
Tue Dec 15 11:16:04 2020, 155.00
Tue Dec 15 11:16:05 2020, 155.00
Tue Dec 15 11:16:06 2020, 155.00
Tue Dec 15 11:16:07 2020, 155.00
Tue Dec 15 11:16:08 2020, 155.00
Tue Dec 15 11:16:09 2020, 155.00
Tue Dec 15 11:16:10 2020, 155.00
Tue Dec 15 11:16:11 2020, 155.00
Tue Dec 15 11:16:12 2020, 155.00
Tue Dec 15 11:16:13 2020, 155.00
Tue Dec 15 11:16:14 2020, 155.00
Tue Dec 15 11:16:15 2020, 155.00
Tue Dec 15 11:16:16 2020, 155.00
Tue Dec 15 11:16:17 2020, 155.00
Tue Dec 15 11:16:18 2020, 155.00
Tue Dec 15 11:16:19 2020, 155.00
Tue Dec 15 11:16:20 2020, 155.00
Tue Dec 15 11:16:21 2020, 155.00
Tue Dec 15 11:16:22 2020, 155.00
Tue Dec 15 11:16:23 2020, 155.00
Tue Dec 15 11:16:24 2020, 155.00
Tue Dec 15 11:16:25 2020, 155.00
Tue Dec 15 11:16:26 2020, 155.00
Tue Dec 15 11:16:27 2020, 155.00
Tue Dec 15 11:16:28 2020, 155.00
Tue Dec 15 11:16:29 2020, 155.00
Tue Dec 15 11:16:30 2020, 155.00
Tue Dec 15 11:16:31 2020, 155.00
Tue Dec 15 11:16:32 2020, 155.00
Tue Dec 15 11:16:33 2020, 155.00
Tue Dec 15 11:16:34 2020, 155.00
Tue Dec 15 11:16:35 2020, 155.00
Tue Dec 15 11:16:36 2020, 155.00
Tue Dec 15 11:16:37 2020, 155.00
Tue Dec 15 11:16:38 2020, 155.00
Tue Dec 15 11:16:39 2020, 155.00
Tue Dec 15 11:16:40 2020, 155.00
Tue Dec 15 11:16:41 2020, 155.00
Tue Dec 15 11:16:42 2020, 155.00
Tue Dec 15 11:16:43 2020, 155.00
Tue Dec 15 11:16:44 2020, 155.00
Tue Dec 15 11:16:45 2020, 155.00
Tue Dec 15 11:16:46 2020, 155.00
Tue Dec 15 11:16:47 2020, 155.00
Tue Dec 15 11:16:48 2020, 155.00
Tue Dec 15 11:16:49 2020, 155.00
Tue Dec 15 11:16:50 2020, 155.00
Tue Dec 15 11:16:51 2020, 155.00
Tue Dec 15 11:16:52 2020, 155.00
Tue Dec 15 11:16:53 2020, 155.00
Tue Dec 15 11:16:54 2020, 155.00
Tue Dec 15 11:16:55 2020, 155.00
Tue Dec 15 11:16:56 2020, 155.00
Tue Dec 15 11:16:57 2020, 155.00
Tue Dec 15 11:16:58 2020, 155.00
Tue Dec 15 11:16:59 2020, 155.00
Tue Dec 15 11:17:00 2020, 155.00
Tue Dec 15 11:17:01 2020, 155.00
Tue Dec 15 11:17:02 2020, 155.00
Tue Dec 15 11:17:03 2020, 155.00
Tue Dec 15 11:17:04 2020, 155.00
Tue Dec 15 11:17:05 2020, 155.00
Tue Dec 15 11:17:06 2020, 155.00
Tue Dec 15 11:17:07 2020, 155.00
Tue Dec 15 11:17:08 2020, 155.00
Tue Dec 15 11:17:09 2020, 155.00
Tue Dec 15 11:17:10 2020, 155.00
Tue Dec 15 11:17:11 2020, 155.00
Tue Dec 15 11:17:12 2020, 155.00
Tue Dec 15 11:17:13 2020, 155.00
Tue Dec 15 11:17:14 2020, 155.00
Tue Dec 15 11:17:15 2020, 155.00
Tue Dec 15 11:17:16 2020, 155.00
Tue Dec 15 11:17:17 2020, 155.00
Tue Dec 15 11:17:18 2020, 155.00
Tue Dec 15 11:17:19 2020, 155.00
Tue Dec 15 11:17:20 2020, 155.00
Tue Dec 15 11:17:21 2020, 155.00
Tue Dec 15 11:17:22 2020, 155.00
Tue Dec 15 11:17:23 2020, 155.00
Tue Dec 15 11:17:24 2020, 155.00
Tue Dec 15 11:17:25 2020, 155.00
Tue Dec 15 11:17:26 2020, 155.00
Tue Dec 15 11:17:27 2020, 155.00
Tue Dec 15 11:17:28 2020, 155.00
Tue Dec 15 11:17:29 2020, 155.00
Tue Dec 15 11:17:30 2020, 155.00
Tue Dec 15 11:17:31 2020, 155.00
Tue Dec 15 11:17:32 2020, 155.00
Tue Dec 15 11:17:33 2020, 155.00
Tue Dec 15 11:17:34 2020, 155.00
Tue Dec 15 11:17:35 2020, 155.00
Tue Dec 15 11:17:36 2020, 155.00
Tue Dec 15 11:17:37 2020, 155.00
Tue Dec 15 11:17:38 2020, 155.00
Tue Dec 15 11:17:39 2020, 155.00
Tue Dec 15 11:17:40 2020, 155.00
Tue Dec 15 11:17:41 2020, 155.00
Tue Dec 15 11:17:42 2020, 155.00
Tue Dec 15 11:17:43 2020, 155.00
Tue Dec 15 11:17:44 2020, 155.00
Tue Dec 15 11:17:45 2020, 155.00
Tue Dec 15 11:17:46 2020, 155.00
Tue Dec 15 11:17:47 2020, 155.00
Tue Dec 15 11:17:48 2020, 155.00
Tue Dec 15 11:17:49 2020, 155.00
Tue Dec 15 11:17:50 2020, 155.00
Tue Dec 15 11:17:51 2020, 155.00
Tue Dec 15 11:17:52 2020, 155.00
Tue Dec 15 11:17:53 2020, 155.00
Tue Dec 15 11:17:54 2020, 155.00
Tue Dec 15 11:17:55 2020, 155.00
Tue Dec 15 11:17:56 2020, 155.00
Tue Dec 15 11:17:57 2020, 155.00
Tue Dec 15 11:17:58 2020, 155.00
Tue Dec 15 11:17:59 2020, 155.00
Tue Dec 15 11:18:00 2020, 155.00
Tue Dec 15 11:18:01 2020, 155.00
Tue Dec 15 11:18:02 2020, 155.00
Tue Dec 15 11:18:03 2020, 155.00
Tue Dec 15 11:18:04 2020, 155.00
Tue Dec 15 11:18:05 2020, 155.00
Tue Dec 15 11:18:06 2020, 155.00
Tue Dec 15 11:18:07 2020, 155.00
Tue Dec 15 11:18:08 2020, 155.00
Tue Dec 15 11:18:09 2020, 155.00
Tue Dec 15 11:18:10 2020, 155.00
Tue Dec 15 11:18:11 2020, 155.00
Tue Dec 15 11:18:12 2020, 155.00
Tue Dec 15 11:18:13 2020, 155.00
Tue Dec 15 11:18:14 2020, 155.00
Tue Dec 15 11:18:15 2020, 155.00
Tue Dec 15 11:18:16 2020, 155.00
Tue Dec 15 11:18:17 2020, 155.00
Tue Dec 15 11:18:18 2020, 155.00
Tue Dec 15 11:18:19 2020, 155.00
Tue Dec 15 11:18:20 2020, 155.00
Tue Dec 15 11:18:21 2020, 155.00
Tue Dec 15 11:18:22 2020, 155.00
Tue Dec 15 11:18:23 2020, 155.00
Tue Dec 15 11:18:24 2020, 155.00
Tue Dec 15 11:18:25 2020, 155.00
Tue Dec 15 11:18:26 2020, 155.00
Tue Dec 15 11:18:27 2020, 155.00
Tue Dec 15 11:18:28 2020, 155.00
Tue Dec 15 11:18:29 2020, 155.00
Tue Dec 15 11:18:30 2020, 155.00
Tue Dec 15 11:18:31 2020, 155.00
Tue Dec 15 11:18:32 2020, 155.00
Tue Dec 15 11:18:33 2020, 155.00
Tue Dec 15 11:18:34 2020, 155.00
Tue Dec 15 11:18:35 2020, 155.00
Tue Dec 15 11:18:36 2020, 155.00
Tue Dec 15 11:18:37 2020, 155.00
Tue Dec 15 11:18:38 2020, 155.00
Tue Dec 15 11:18:39 2020, 155.00
Tue Dec 15 11:18:40 2020, 155.00
Tue Dec 15 11:18:41 2020, 155.00
Tue Dec 15 11:18:42 2020, 155.00
Tue Dec 15 11:18:43 2020, 155.00
Tue Dec 15 11:18:44 2020, 155.00
Tue Dec 15 11:18:45 2020, 155.00
Tue Dec 15 11:18:46 2020, 155.00
Tue Dec 15 11:18:47 2020, 155.00
Tue Dec 15 11:18:48 2020, 155.00
Tue Dec 15 11:18:49 2020, 155.00
Tue Dec 15 11:18:50 2020, 155.00
Tue Dec 15 11:18:51 2020, 155.00
Tue Dec 15 11:18:52 2020, 155.00
Tue Dec 15 11:18:53 2020, 155.00
Tue Dec 15 11:18:54 2020, 155.00
Tue Dec 15 11:18:55 2020, 155.00
Tue Dec 15 11:18:56 2020, 155.00
